,School_ID,Short_Name,Long_Name,School_Type,Primary_Category,Progress_Report_Year,Student_Growth_Rating,Student_Attainment_Rating,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Suspensions_Per_100_Students_Year_2_Pct,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,One_Year_Dropout_Rate_Year_1_Pct,One_Year_Dropout_Rate_Year_2_Pct,Attainment_ACT_Grade_11_Pct,Attainment_ACT_Grade_11_Lbl,Average ACT Reading,Average ACT Math,Average ACT Science,Average ACT English,Composite ACT Score,Graduation_4_Year_School_Pct_Year_2,Graduation_4_Year_CPS_Pct_Year_2,Graduation_4_Year_School_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,Graduation_5_Year_School_Pct_Year_2,Graduation_5_Year_CPS_Pct_Year_2,Graduation_5_Year_School_Pct_Year_1,Graduation_5_Year_CPS_Pct_Year_1,College_Enrollment_School_Pct_Year_2,College_Enrollment_CPS_Pct_Year_2,Location
396,610513,AIR FORCE HS,Air Force Academy High School,Military academy,HS,2016,ABOVE AVERAGE,AVERAGE,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,27.2,14.2,92.1,91.4,1.1,4.1,40,40th,18.7,18.3,19.2,18.8,18.8,75.7,73.5,80.2,68.2,86.1,73.5,84,69.9,61.5,57.9,"3630 S WELLS ST
Chicago, Illinois 60609
(41.828145, -87.632757)"
288,610524,ALCOTT HS,Louisa May Alcott College Preparatory HS,Small,HS,2016,BELOW AVERAGE,BELOW AVERAGE,VERY STRONG,STRONG,STRONG,VERY STRONG,VERY STRONG,NEUTRAL,7.1,9.2,91.3,91.5,5.8,1.6,28,28th,17.5,17.7,18.1,17.0,17.6,75,73.5,83.9,68.2,87.1,73.5,77.7,69.9,59.6,57.9,"2957 N HOYNE AVE
Chicago, Illinois 60618
(41.935795, -87.680562)"
415,609695,AMUNDSEN HS,Roald Amundsen High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,STRONG,STRONG,STRONG,STRONG,VERY STRONG,NEUTRAL,9.7,6.4,90.5,91.8,5,3.9,35,35th,18.3,18.2,18.4,17.7,18.2,71.8,73.5,75.6,68.2,82.8,73.5,75.8,69.9,54.4,57.9,"5110 N DAMEN AVE
Chicago, Illinois 60625
(41.975067, -87.679484)"
284,609698,BOGAN HS,William J Bogan High School,Neighborhood,HS,2016,FAR BELOW AVERAGE,FAR BELOW AVERAGE,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,13.9,12.2,88.3,89.2,3.5,3.1,9,9th,15.0,15.4,15.4,13.8,14.9,67.5,73.5,59.6,68.2,75.7,73.5,74.3,69.9,54.6,57.9,"3939 W 79TH ST
Chicago, Illinois 60652
(41.749376, -87.721097)"
287,610323,BOWEN HS,Bowen High School,Small,HS,2016,BELOW AVERAGE,FAR BELOW AVERAGE,STRONG,STRONG,VERY STRONG,STRONG,STRONG,WEAK,124,102.4,88.3,87,1.4,1.6,7,7th,14.6,15.3,15.2,13.3,14.6,56,73.5,60.4,68.2,63.7,73.5,63.3,69.9,49.4,57.9,"2710 E 89TH ST
Chicago, Illinois 60617
(41.734627, -87.55755)"
207,610381,BRONZEVILLE HS,Bronzeville Scholastic Academy High School,Small,HS,2016,FAR BELOW AVERAGE,FAR BELOW AVERAGE,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,WEAK,NOT ENOUGH DATA,35.4,18.7,88,87.8,0.2,1.9,8,8th,14.6,15.5,15.7,13.7,14.8,73,73.5,78.7,68.2,80.6,73.5,85.4,69.9,65.5,57.9,"4934 S WABASH AVE
Chicago, Illinois 60615
(41.805204, -87.625004)"
354,609726,BROOKS HS,Gwendolyn Brooks College Preparatory Academy HS,Selective enrollment,HS,2016,ABOVE AVERAGE,ABOVE AVERAGE,STRONG,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,NEUTRAL,2.8,6,92.1,92.1,1.5,2.7,80,80th,23.1,21.1,22.0,24.0,22.5,88.6,73.5,91.3,68.2,93.4,73.5,92.2,69.9,85.1,57.9,"250 E 111TH ST
Chicago, Illinois 60628
(41.692763, -87.616353)"
317,609760,CARVER MILITARY HS,George Washington Carver Military Academy HS,Military academy,HS,2016,AVERAGE,BELOW AVERAGE,STRONG,STRONG,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,4.4,6.9,94.2,94.1,1.8,0.6,31,31st,17.8,17.7,18.9,17.6,18.0,89.1,73.5,87.2,68.2,91,73.5,89.3,69.9,45.7,57.9,"13100 S DOTY AVE
Chicago, Illinois 60627
(41.65629, -87.59062)"
643,400022,CHIARTS HS,Chicago High School for the Arts (ChiArts),Contract,HS,2016,AVERAGE,AVERAGE,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,11,10.8,97.2,97,5.2,3.1,48,48th,20.3,18.4,18.8,20.1,19.4,83.2,73.5,75.7,68.2,81.1,73.5,80.4,69.9,79.6,57.9,"2714 W AUGUSTA BLVD
Chicago, Illinois 60622
(41.899377, -87.694945)"
324,610340,CHICAGO ACADEMY HS,Chicago Academy High School,Small,HS,2016,ABOVE AVERAGE,AVERAGE,WEAK,STRONG,STRONG,VERY WEAK,WEAK,NEUTRAL,9.5,6.7,91.5,93.2,3,1.1,40,40th,18.3,18.8,18.4,18.2,18.5,83.1,73.5,75.2,68.2,85.4,73.5,81.7,69.9,80.4,57.9,"3400 N AUSTIN AVE
Chicago, Illinois 60634
(41.943054, -87.776847)"
